# ID  jfk    jdf     V      uncV   B_V   B_VUn
 469 1190.46    7.51 19.888 0.007  0.485 0.009
 470 1030.31  123.38 19.891 0.006  1.208 0.009
 471 1354.22  228.45 19.896 0.006  0.495 0.009
 472  892.89   51.59 19.897 0.006  0.469 0.009
 473  491.15  209.26 19.898 0.006  0.491 0.009
 474 1785.70 1919.26 19.900 0.006  0.489 0.009
 475  365.20  689.63 19.902 0.006  0.479 0.008
 476   53.41   69.68 19.902 0.006  0.506 0.009
 477 1777.66 1128.05 19.913 0.006  0.478 0.008
 478 1206.98    6.64 19.913 0.006  0.472 0.009
 479  220.69 1068.11 19.914 0.006  0.502 0.008
 480 1399.89  815.70 19.915 0.006  0.491 0.008
 481  280.54  386.70 19.917 0.006  0.499 0.008
 482  867.38    0.90 19.924 0.008  0.458 0.012
 483 1091.21 1323.98 19.925 0.006  0.467 0.009
 484  383.22  228.24 19.928 0.006  0.496 0.009
 485  998.68 1643.55 19.931 0.006  0.486 0.008
 486  204.77  198.45 19.934 0.006  0.612 0.009
 487   58.75 1630.52 19.935 0.006  0.487 0.009
 488  124.63  131.00 19.938 0.007  0.533 0.009
 489  243.76  649.21 19.938 0.006  0.481 0.009
 490 1893.07 1053.27 19.940 0.006  0.469 0.008
 491   96.71   88.37 19.941 0.011  0.554 0.014
 492   64.64  745.19 19.948 0.006  0.485 0.008
 493   45.86  782.17 19.951 0.006  0.487 0.009
 494  732.22  260.54 19.960 0.006  0.508 0.009
 495  694.06  509.75 19.962 0.006  0.479 0.009
 496   97.92    1.19 19.966 0.008  0.451 0.013
 497    0.06 1241.96 19.966 0.033  0.524 0.041
 498   54.50  448.04 19.967 0.007  0.547 0.010
 499  769.31  445.79 19.968 0.006  0.496 0.009
 500  647.84 1311.17 19.971 0.006  0.485 0.009
 501  102.91 1438.87 19.974 0.006  0.536 0.009
 502 1478.27 2041.14 19.977 0.007  0.496 0.011
 503  140.67   69.68 19.987 0.010  0.534 0.013
