# ID  X      Y        V        unc_V    B      unc_B  I        unc_I   X_     E
 287 1586.73  457.58  14.931   0.001  15.579   0.001  14.010   0.001   0.901  -0.039
 288 1005.15  984.37  14.910   0.065  15.467   0.060  14.016   0.012   0.906  -0.019
 289 1544.10  803.38  14.921   0.001  15.590   0.001  14.010   0.001   0.918  -0.091
 290 1053.65  819.18  14.886   0.001  15.160   0.001  14.493   0.002   0.949  -0.010
 291  312.33  735.26  14.892   0.001  15.590   0.001  14.064   0.001   0.912  -0.044
 292 1547.26  991.35  14.906   0.003  15.196   0.000  14.491   0.009   0.927  -0.034
 293 1109.80 1516.36  14.893   0.001  15.163   0.001  14.501   0.002   0.901  -0.017
 294 1534.44 1687.17  14.884   0.001  16.065   0.001  13.622   0.001   0.922  -0.027
 295 1482.07  859.66  14.873   0.001  15.043   0.001  14.659   0.002   1.071   0.239
 296 1439.62  598.23  14.911   0.001  15.661   0.001  14.005   0.001   0.900  -0.066
 297 1004.92  618.76  14.904   0.001  15.208   0.001  14.471   0.002   0.917  -0.060
 298  615.65  465.87  15.142   0.001  15.405   0.001  14.036   0.001   0.962  -0.198
 299 1293.49  861.30  14.908   0.001  15.190   0.001  14.488   0.002   0.972   0.128
 300 1369.88 1093.31  14.959   0.001  15.664   0.001  13.962   0.001   0.918  -0.032
 301   -8.84  291.69  14.912   0.002  15.301   0.001  14.375   0.003   1.053   0.010
 302 1225.56  572.11  14.948   0.001  15.609   0.001  14.039   0.001   0.903  -0.040
 303 1718.46 1017.65  14.930   0.007  15.963   0.002  13.707   0.008   0.975  -0.067
 304  662.52   57.94  14.946   0.001  15.545   0.001  14.136   0.001   0.873  -0.067
 305  839.39  951.71  14.885   0.013  15.569   0.070  14.137   0.023   0.949   0.051
 306 1804.82  687.62  14.916   0.001  15.109   0.001  14.620   0.002   0.969  -0.109
 307  847.49  188.97  14.947   0.001  16.018   0.001  13.689   0.001   0.892  -0.117
 308  714.06  641.13  14.960   0.001  16.011   0.001  13.710   0.001   0.900  -0.092
 309  599.27  527.07  14.920   0.001  16.313   0.001  13.461   0.001   0.923  -0.107
