# ID    d   s   ds    e  e  f    Bmag   e_B   Vmag   e_V    diff
ID-0221 17 37 18.73  -3 14 36.00 22.158 0.025 21.080 0.023 -0.032
ID-0222 17 37 18.73  -3 15 26.85 22.328 0.032 21.308 0.024 -0.022
ID-0223 17 37 18.73  -3 15 44.21 22.985 0.056 21.821 0.034 -0.022
ID-0224 17 37 18.73  -3 17 47.55 23.067 0.056 21.804 0.037 -0.001
ID-0225 17 37 18.74  -3 14  5.99 23.025 0.044 22.014 0.044 -0.032
ID-0226 17 37 18.75  -3  8 56.05 22.028 0.024 20.960 0.022  0.002
ID-0227 17 37 18.75  -3 16 36.10 22.193 0.035 21.144 0.023  0.006
ID-0228 17 37 18.77  -3 12 31.35 21.525 0.013 20.528 0.011 -0.050
ID-0229 17 37 18.77  -3 14 54.51 21.866 0.019 20.875 0.018 -0.022
ID-0230 17 37 18.78  -3 21 23.99 20.307 0.007 19.220 0.006  0.013
ID-0231 17 37 18.79  -3 15 13.44 18.904 0.002 17.444 0.001 -0.022
ID-0232 17 37 18.79  -3 17 52.78 21.229 0.013 20.207 0.009 -0.001
ID-0233 17 37 18.80  -3 20 34.27 23.144 0.059 22.100 0.051  0.013
ID-0234 17 37 18.82  -3 15 33.21 21.834 0.019 20.839 0.019 -0.022
ID-0235 17 37 18.82  -3 17 28.24 21.910 0.026 20.980 0.023 -0.001
ID-0236 17 37 18.83  -3 11 54.05 22.278 0.027 21.264 0.025 -0.041
ID-0237 17 37 18.83  -3 17 42.96 22.062 0.024 21.079 0.021 -0.001
ID-0238 17 37 18.85  -3 13 17.21 21.992 0.019 20.958 0.018 -0.050
ID-0239 17 37 18.85  -3 12 57.56 23.033 0.051 21.953 0.035 -0.050
ID-0240 17 37 18.87  -3 12 39.27 21.726 0.015 20.716 0.014 -0.050
ID-0241 17 37 18.87  -3 15 20.49 22.190 0.027 21.102 0.019 -0.022
ID-0242 17 37 18.88  -3 10 19.75 21.691 0.015 20.464 0.012 -0.048
ID-0243 17 37 18.90  -3 10 36.32 21.928 0.015 20.957 0.018 -0.048
ID-0244 17 37 18.90  -3 16 46.32 21.364 0.019 20.339 0.012  0.006
ID-0245 17 37 18.93  -3 17 26.01 21.136 0.016 19.905 0.009  0.006
ID-0246 17 37 18.94  -3 12 34.11 21.686 0.015 20.728 0.014 -0.050
ID-0247 17 37 18.96  -3  9 27.10 23.137 0.053 22.054 0.044 -0.048
ID-0248 17 37 18.97  -3 12 12.12 21.886 0.023 20.894 0.018 -0.050
ID-0249 17 37 18.97  -3 16  1.51 21.528 0.015 20.496 0.012 -0.022
ID-0250 17 37 19.01  -3 13 42.42 22.014 0.026 21.052 0.023 -0.032
ID-0251 17 37 19.01  -3 14 28.70 22.897 0.040 21.912 0.048 -0.032
ID-0252 17 37 19.01  -3 15 50.37 17.895 0.002 16.489 0.001 -0.022
ID-0253 17 37 19.01  -3 16 39.87 22.282 0.030 21.237 0.023  0.006
ID-0254 17 37 19.01  -3 21  6.26 21.880 0.024 20.394 0.013  0.013
ID-0255 17 37 19.02  -3 14 12.58 22.144 0.026 21.142 0.023 -0.032
ID-0256 17 37 19.02  -3 15 46.74 22.177 0.026 21.132 0.021 -0.022
ID-0257 17 37 19.03  -3 10 26.13 22.701 0.030 21.900 0.038 -0.048
ID-0258 17 37 19.04  -3 15 59.15 20.812 0.011 20.401 0.012 -0.022
ID-0259 17 37 19.06  -3 14 59.97 22.757 0.043 21.714 0.032 -0.022
